Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Outras matérias -primas, subsidiárias e de consumo",182
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Produtos acabados e intermédios - Produtos acabados e intermédios,183
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Produtos acabados e intermédios - Produtos em poder de terceiros,184
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Produtos acabados e intermédios - Perdas por imparidade acumuladas - Produtos acabados e intermédios,185
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Produtos acabados e intermédios - Perdas por imparidade acumuladas - Produtos em poder de terceiros,186
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Subprodutos, desperdícios, resíduos e refugos - Subprodutos",187
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Subprodutos, desperdícios, resíduos e refugos - Desperdícios, resíduos e refugos",188
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Subprodutos, desperdícios, resíduos e refugos - Outros subprodutos, desperdícios, resíduos e refugos",189
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Subprodutos, desperdícios, resíduos e refugos - Perdas por imparidade acumuladas - Subprodutos",190
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Subprodutos, desperdícios, resíduos e refugos - Perdas por imparidade acumuladas - Desperdícios, resíduos e refugos",191
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Subprodutos, desperdícios, resíduos e refugos - Perdas por imparidade acumuladas - Outros subprodutos, desperdícios, resíduos e refugos",192
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Produtos e trabalhos em curso - Produtos e trabalhos em curso,193
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Produtos e trabalhos em curso - Perdas por imparidade acumuladas,194
